name,category,difficulty_level,calories_per_minute,is_popular,usage_count,wger_id,wger_category_id
High Row,back,beginner,5.0,1,0,1492,12
Bizeps Curls Trifecta,arms,beginner,5.0,1,0,1483,8
Arabesque,legs,beginner,5.0,1,0,1141,9
Hamstring Chokes,legs,beginner,5.0,1,0,1398,9
Triceps Extensions on Cable,arms,beginner,5.0,1,0,659,8
Snatch OL,back,beginner,5.0,1,0,1447,12
Seated Bench Press,chest,beginner,5.0,1,0,1094,11
Hand Grip,arms,beginner,5.0,0,0,279,8
Single Arm Plank to Row,back,beginner,5.0,1,0,1022,12
Romanian Deadlift,legs,beginner,5.0,0,0,507,9
Drag Pushdown,arms,beginner,5.0,1,0,1481,8
Lying Triceps Extensions,arms,beginner,5.0,1,0,1480,8
2 Handed Kettlebell Swing,abs,beginner,5.0,0,0,9,10
Lying Triceps Kickback,arms,beginner,5.0,1,0,1490,8
Triceps Overhead (Dumbbell),arms,beginner,5.0,1,0,1336,8
Wall Slides,back,beginner,5.0,1,0,716,12
"Shoulder Press, on Machine",shoulders,beginner,5.0,1,0,543,13
Reverse Cable Flye,back,beginner,5.0,1,0,1473,12
"Shoulder Press, Barbell",shoulders,beginner,5.0,1,0,566,13
Push OHP,shoulders,beginner,5.0,1,0,1440,13
Biceps Curl With Cable,arms,beginner,5.0,1,0,95,8
Overhead Press,chest,beginner,5.0,1,0,687,11
Lat Pull DB,back,beginner,5.0,1,0,1434,12
Front Pull narrow,back,beginner,5.0,1,0,259,12
"Calf raises, left leg",calves,beginner,5.0,1,0,1203,14
Crunches on Machine,abs,beginner,5.0,1,0,172,10
Standing Calf Raises,calves,beginner,5.0,1,0,622,14
Cable Lateral Raises (Single Arm),shoulders,beginner,5.0,1,0,1378,13
Suspended crossess,cardio,beginner,5.0,1,0,927,15
Elevated prayer stretch,back,beginner,5.0,1,0,1027,12
Sit Up Elbow Thrust,abs,beginner,5.0,1,0,1479,10
Smith Machine Split Squat,legs,beginner,5.0,1,0,1593,9
Step-ups,legs,beginner,5.0,0,0,981,9
Seated Cable Rows,back,beginner,5.0,1,0,921,12
Dumbbell rear delt row,shoulders,beginner,5.0,1,0,1227,13
Barbell Bench Press - NB,chest,beginner,5.0,1,0,1295,11
Jalón cerrado,back,beginner,5.0,1,0,1126,12
